item_id,txt
172063,"one-shot record of a belly dancer; ""Carmencita Dancing,"" one of a series of Edison short films featuring  circus and vaudeville acts, displayed the... um... ""talents"" of a zaftig belly-dancer who agreed to undulate before the camera of the famous ""Black  Maria"" studio.   The dance was originally intended to be played in a Kinetoscope, a single -person arcade viewer connected to Edison's more famous invention, the phonograph. Through a pair of crude headphones, the latter device supplied an asynchronous soundtrack of ""hootchie-cootchie"" music.   The Kinetograph camera here employed is so new -- even to its inventors  -- that director Dickson has drastically ""overcranked"" the film, unintentionally producing one of the first examples of slow-motion.  Carmencita's titillating movements were considered by many to be  scandalous. Thus, the film prompted some of the earliest discussions of film censorship."
95541,"Banging Away..; Thomas Edison and William K.L. Dickson's ""Blacksmith Scene,"" was the first film shown publicly in 1893. This short is a brief look at 3 workers as they go about their daily ritual. Great piece of work for its time. In the early days of cinema, directors typically recorded everyday events such as the arrival of ships or workers leaving a factory. These short films were called ""actualities."" Later, with the advent of better equipment (which could record for longer), directors began to introduce more complicated narratives into film. 10* (10* Rating System)"
7065,unbelievable; I cannot understand how anyone can call this one of the greatest movies ever made. It is disgraceful and appalling. I guess it is still high entertainment to see white actors in black face and watch a film loaded with stereotype.
3739,"I'm still starry-eyed from it; I saw this last night on the Turner Classic Movies station.  Wow.  This is a perfect, shining, ebullient example of what was possible before The Code. The clever, witty, salacious dialogue!  The compromising situations!  The sheer sexuality permeating every scene, including the ones where the camera is on this side of a closed door!  I am so glad that I finally saw this film, and would own a copy immediately were it available in any format. There's a lesson here.  All together now: NEVER AGAIN with the censorship!!!"
1562,"Failed on every Front; Joel Schumacher who did an OK job on the third Batman Movie, has simply lost the plot on this one. Poorly cast with the exception of Robin and Ivy, this is far more like the 60's TV series than the comic books, and it just does not work. The Baddies are not menacing, Schwarzenegger rarely performs this badly and Uma Thurman, although she did an OK job was just a poor character. As for Batgirl, this is just too much. Bring back Keaton and Tim Burton and take Batman back to his dark roots. There is no future for Batman if it continues like this. 3/10"
8977,"Poor Casting, Poor script Poor direction.; I had so much anticipation before seeing this film. But in the end it seemed to be a poor cross between the history channel and a gay sex in the city. I won't summarise the plot as most know it already. The only person to come out intact was Val Kilmer. His almost perfect portrayal of an edgy, alcoholic, despot was breath-taking. Colin Farrell by contrast seemed not to be able to cope. Alexander was a notorious alcoholic, yet Farrell's character is remarkably sober throughout. The one time he seemed a little drunk was in killing Cleitus, in the party scene in India. Here he kills a man who has fought with him in all his campaigns, yet it the film he does it fully cognisant, fully sober and completely unbelievably. The so called homo-erotic scenes between Farrell's Alexander and Jared Leto's Hephaistion were so laughable they merit no comment. Most people seemed not be offended by their inclusion but rather at how badly these scenes were performed. The only thing I would ask the director is as Firth seemed so uncomfortable with the gay scenes why make these scenes so integral to the film? I know a man like Alexander is too big to cover in a film. But this was pathetic. Alexander the man who conquered what was then the greatest empire the world had ever seen. The man who founded countless cities, never defeated in battle, and persuaded men form the ""Hicksville"" end of Greece to fight to the end of the known world. A man who convinced older men and wiser men that impossible dreams could not only be dreamt but made real. This man in this film is reduced to an a character out of the OC, forever pondering the psycho dynamics of the situation in between getting his leg over with the next dark eyed, dark haired man. The script seemed to have been written by people that had drunk all the wine meant for Alexander. Come on guys you are better than this! The direction had no flow, no continuity, no consistency and in fact no quality. The only scenes that were reasonable were the expansive shots of the Mountains. But this director is no David Lean. No John Ford. And even these scenes seem to feel like some kind of travel show than an historic epic. When I watched this film, for the first time in a long time people started walking out of the cinema. I don't blame them. In short this film is complete flawed. But the greatest crime is that is could have been great but should have good. Unfortunately where this film needed a director like David Lean or Stanley Kubrick; we instead got someone that should limit his endeavours to the history channel. Anyone who thinks this film was good needs to develop an opinion. Simply opposing the opinion of the Conservative right in the US does not make for a realistic appraisal."
2174,"An Accomplished Tim Burton Movie; A Great Idea, Good Script, and Wonderful Cast. What more do you need? Answer - TIM BURTON He successfully creates a fantasy world for the living and the dead to share as only he can. This combined with solid performances from the entire cast and of Course Michael Keaton as Beetlejuice, you know your on to a winner. Keaton Brings Beetlejuice to life in this hilarious comedy, as he is called upon to help some ghosts excorisise the living from their home, with unpredicted results. This movie quite simply gets funnier every time you see it, and there is literally nothing else like it, that i have seen. Terrific 8/10"
8947,"Very good; I saw ""The Grudge"" yesterday, and wow... I was really scared, a good thing. I love horror-movies, and I really liked this one. There were so many 'surprise'-scenes (what's the English word?) that made you jump in your seat. Though, too much screaming from the audience made it difficult not to laugh. I think the most scary scene was... on the bus, when the face flashes by on the window, or when Yoko's walking without her chin. The make-up is also VERY good. Sometimes you could really see it was there, but it was still adding a freaky look to the scene. The boy was very good indeed, so cute without make-up and so terribly scary with it on. The next time I hear a cracking noise I will probably feel pretty scared..."
143027,"This movie was stupid.; This movie was totally ridiculous! My friends and I watched it and were totally disappointed. The movie has bad graphics. The movie has boring elements. Basically throughout the movie the girl seems to try to be a ""very"" close friend. The movie contains the usual bad guy trying to kill the main character. Only in this movie the girl, Allysin, doesn't save the day. The bad guy tries to embarrass the main character. The secondary character comes to try to save the day. She does a little by taking off the ring but thats all. She try to tell the main character about the bad guy by doesn't listen. Right before that main character about to die the secondary character yells out ""Danny""! The acting was horrible. Alyson Michalka was one of the worst people they could of picked. She needed some enthusiasm. Danny the character needed to be much nicer and less offensive. To top it all off they didn't even KISS! This truly was a bad movie full of demonic stuff. If you are a Christian I wouldn't see this movie."
143027,". . . is a great movie.; Amazing! Finally Disney produces a movie with some magic and something else besides love stories and mushy crap like that. I found the movie quite intriguing. Johnny Pacar and Alyson Michalka were great for the roles. I think Alyson's role in the movie wasn't that far off from her one from Phil of the Future. Pacar really got into the role and it made me really feel the emotions. Have magical powers and trying to keep them hidden within takes a lot of will power and secrecy. The movie really keep me on my toes, trying to guess what was going to happen next. As a whole, this movie is by far one of my favorite Disney movies yet. It isn't like all of the others. This is all fantasy stuff and all the other ones are real life situations. We get enough real life stuff at school, so when we come home we want to watch a movie that isn't like all of the stuff we go through at school. This movie ROCKS my SOCKS OFF!!!!"
143027,"What a great change; Now, the stereotypical Disney Channel movie is some ""Hooray for everything!""-themed movie about a young girl/guy struggling to get through middle school/high school. This is still about a young boy (around 16) and a girl (same age) trying to help him master his magic. Alyson Michalka doesn't stray far from her character on Phil of the Future with Alyson (wow, what a stretch with the name), perky, fun, and inquisitive. Yet her character in this movie has slightly more ""oompf"" than Keely. Johnny Pacar is very good at portraying Danny, struggling to keep his powers secret and under control. This movie strays slightly from the Disney Channel movie mold. It's a little more dark than past Disney movies, and I like the change. The writing is very good for a kid/teen movie, and the casting is done very well. The main idea of the movie is that Allyson (Michalka) is a teen producer on a new reality show trying to find the ""World's Greatest Kid Magician."" But all her prospects are a flop. Until she finds Danny (Pacar), that is. They move to the magic mansion, which leads to mystery, drama, and even betrayal. Well, as much betrayal as can be shown on the Disney Channel. All in all, I commend Disney on at least trying to break out of their stereotypes with this movie. It's entertaining, and you should at least try to check it out. Michalka and Bacar have great on-screen friend chemistry, even in the beginning, when they're less than friends. 7/10"
2997,"Good, But Not For Everyone; A truly original example of movie making, the concept of the movie is very refreshing and the gags are fresh and funny. Great direction, great cast and overflowing with fresh ideas, this film is a breath of fresh air. There is a problem though, it is certainly not for everyone; it is very weird and is more likely to attain a cult status in movie history than it is to become a true classic. That said, i did enjoy it immensely, and would recommend it to every movie lover who fancies something a little different. Try it, you might like it, and if you don't, what have you lost? 8/10"
1201,"A Classic That is The Greatest Spaghetti Western of All Time; ""The Good, The Bad and The Ugly"" not only is a classic, the greatest spaghetti Western of all time (edging out Sergio Leone's own ""For a Few Dollars More"" (1965), but is remains a remarkable cultural artifact, one of the watershed films of the 1960s. The combination of violence, amorality and black humor set the tone for a generation of films to come, a pedigree shared with the Sean Connery James Bond films. Eli Wallach is outstanding ""in the role of Tuco."" In fact, it could be argued that this is really his film, as he is on screen longer than Clint Eastwood. Wallach's Tuco is one of the great screen performances, in all its vital, overblown vulgarity (and as we can see with the best performances of Laurence Olivier and Marlon Brando, genius in acting often skirts the boundaries of vulgarity). A brilliant performance in a brilliant film. Aside from Leone's outstanding direction, Wallach is the engine that drives this masterpiece down the rails into cinematic immortality! Eastwood is Eastwood The Icon, the great star of the post-John Wayne era. Clint's interactions with Wallach's Tuco are wonderful. Lee Van Cleef makes an outstanding villain as Angel Eyes. Not to be missed by any student of the cinema! Tonino Delli Colli's cinematography is a text book example of how to shoot a widescreen film, equal to the great Academy Award-winning work of Jack Hildyard and Freddie Young in David Lean's ""The Bridge on the River Kwai"" (1957) and ""Lawrence of Arabia (1962), respectively."
7367,"Brilliant. This one matches -if not out stands- Big Lebowski; First, I AM quite critical with films, and will not give my advise for good movies just because. When I started to watch this one, honestly, I did not expect too much, and was quite afraid that I might be just watching the ""sequel"" of the execrable ""O Brother..."" (that's literally the definition about this latter film I've read seconds ago in a comment and I do stand for it). Instead and quite soon, I was happily delighted, and really enjoyed ""Ladykillers"" as I did not enjoy any other film in many, many months, if not in a couple of years. Also, I do not like Tom Hanks, because I find his acting roles somewhat stereotypical, but in this one he is just... SUPERB! I keep wondering why this film is so underrated; it's UNDOUBTELY within my best 50 films ever, and I guess maybe it has to do with the fact that it is a remake and consequently there are comparisons. As for myself, I did not watch the original but soon will. Coen brothers are for sure at the best level you can demand for as directors (except again for O Brother), and I guess if John Turturro had had the role of one of the other three ladykillers (again, Tom Hanks is already great, and also is Tzi Ma, the general) then it would have been clearly better than ""Big Lebowski"", which already is one of the best films ever. Why didn't you hire him!? 10/10 for this one, and I haven't given a 10 to more than a dozen films in all. Really deserved."
31225,"Coach Carter was a good portrayal of a true story; I really enjoyed the movie and was actually inspired by the end of the film. The film was a little corny and syrupy from time to time but it was an overall good, positive film. I have read and heard so many comments about the morals and unacceptable behavior portrayed by some of the characters and in turn viewers bad-mouth the film simply because they do not agree with some of the behavior of the some of the characters in the film. But these people obviously missed the point of the film. Coach Carter was trying to instill values that he thought would help an entire community. The reality is that kids do have foul mouths, have unprotected sex, are faced with hard decisions (to have or not have a baby and selling drugs) everyday. We should all be so fortunate to have the opportunity to see a movie that features a person that actually tries to deal with these issues without making judgment calls and instead offer resolutions to problems. He offered resolutions to his team's behavior and left it to them to make the right decisions. This was good because they were able to see the consequences of their actions. When they made the right decision, they were able to see the positive consequences. When they made the wrong decision the players were faced with negative consequences and had no one to blame but themselves. The impact of a person of this magnitude is profound and if some viewers found fault with this movie simply because their reality is a little different at this moment then it was for the characters in this film is very unfortunate for the viewer. Because you never know when you might be faced with a person similar to that in the movie. You just might have to deal with this situation more personally than expected and if this happens what will you do? Because the consequences of your actions in a situation like this will be either positive or negative as well."
